title,location,Price,Rating
Wadi Rum Golden Sands Camp,Wadi Rum,JOD10,4
Janty Apartments,Amman,JOD86,5
Obeid's Bedouin Life Camp,Wadi Rum,JOD29,0
Four Seasons Hotel Amman,Amman,JOD190,5
Khalid's Beduin Authentic Camp,Wadi Rum,JOD18,2
Amman Marriott Hotel,Amman,JOD91,5
Petra Wassaif Camp,Wadi Musa,JOD40,1
Downtown Hotel Apartments,Amman,JOD68,4
Shams Alweibdeh Hotel Apartments,Amman,JOD60,3
Mövenpick Resort Petra,Wadi Musa,JOD293,5
"Crowne Plaza Jordan Dead Sea Resort & Spa, an IHG Hotel",Sowayma,JOD145,5
Rakan Apartments,Wadi Musa,JOD33,1
Mövenpick Nabatean Castle Hotel,Wadi Musa,JOD119,5
Dair Ghbar Apartment,Amman,JOD57,2
Real Bedouin Experience Tours & Camp,Wadi Rum,JOD50,2
Monarch Hotel Amman,Amman,JOD63,4
Public Security Hotel & Chalets,Aqaba,JOD55,4
Seven Wonders Hotel,Wadi Musa,JOD79,3
Discover the life of Wadi Rum,Wadi Rum,JOD28,0
Jerusalem Doors Hotel Apartments,Amman,JOD53,5
Comfort Hotel Suites,Amman,JOD25,3
Gedara Guesthouse: enjoy unforgettable scenes,Umm Qays,JOD104,1
Big Ben Hotel Suites,Amman,JOD30,4
JAD chalet,Al Kafrayn,JOD221,2
Triple A Hotel Suites,Amman,JOD67,1
Balcony Hotel,Amman,JOD34,3
Suzan Studios & Apartments,Amman,JOD30,4
Hayat Zaman Hotel And Resort Petra,Wadi Musa,JOD174,5
Wadirum desert tours camp,Wadi Rum,JOD9,4
Sofia Suites Hotel,Amman,JOD36,3
Bedouin Desert camp,Wadi Rum,JOD15,5
Comfort Hotel Suites,Amman,JOD25,3
Gedara Guesthouse: enjoy unforgettable scenes,Umm Qays,JOD104,0
Big Ben Hotel Suites,Amman,JOD30,4
JAD chalet,Al Kafrayn,JOD221,2
Triple A Hotel Suites,Amman,JOD61,0
Balcony Hotel,Amman,JOD34,3
Suzan Studios & Apartments,Amman,JOD30,0
Hayat Zaman Hotel And Resort Petra,Wadi Musa,JOD160,5
Wadirum desert tours camp,Wadi Rum,JOD9,0
Sofia Suites Hotel,Amman,JOD36,3
Bedouin Desert camp,Wadi Rum,JOD15,5
Aljamal Hotel,Amman,JOD45,0
Petra Palace Hotel,Wadi Musa,JOD69,3
Little Petra Heritage Village,Wadi Musa,JOD38,3
Faraseen Apartments,Al Qasţal,JOD43,0
Zarb Desert Camp,Wadi Rum,JOD11,0
Wadi Rum Nature Life Tours,Wadi Rum,JOD15,1
Milky Way Bedouin Camp,Wadi Rum,JOD30,5
Desert Mars Camp & Tours,Wadi Rum,JOD10,5
Qaser Al-Sultan Hotel Suites,Amman,JOD80,2
Khaled's Camp,Wadi Rum,JOD9,1
Space Village Luxury Camp,Wadi Rum,JOD110,5
Salma Camp,Wadi Rum,JOD30,1
Wadirum bedouin live camp,Wadi Rum,JOD6,1
Rotana camp & desert tour's,Wadi Rum,JOD13,1
Suzan Studios & Apartments,Amman,JOD30,4
Hayat Zaman Hotel And Resort Petra,Wadi Musa,JOD166,5
Wadirum desert tours camp,Wadi Rum,JOD9,5
Sofia Suites Hotel,Amman,JOD36,3
Bedouin Desert camp,Wadi Rum,JOD15,3
Aljamal Hotel,Amman,JOD45,5
Petra Palace Hotel,Wadi Musa,JOD71,3
Little Petra Heritage Village,Wadi Musa,JOD38,5
Faraseen Apartments,Al Qasţal,JOD44,1
Zarb Desert Camp,Wadi Rum,JOD11,0
Wadi Rum Nature Life Tours,Wadi Rum,JOD15,1
Milky Way Bedouin Camp,Wadi Rum,JOD30,4
Desert Mars Camp & Tours,Wadi Rum,JOD10,1
Qaser Al-Sultan Hotel Suites,Amman,JOD80,4
Khaled's Camp,Wadi Rum,JOD9,3
Space Village Luxury Camp,Wadi Rum,JOD114,0
Salma Camp,Wadi Rum,JOD30,4
Wadirum bedouin live camp,Wadi Rum,JOD6,3
Rotana camp & desert tour's,Wadi Rum,JOD13,4
Yalla Rum Camp,Wadi Rum,JOD11,1
Oasis Bedouin Camp,Wadi Rum,JOD18,2
Desert Nights Camp,Wadi Rum,JOD1,1
Skylight apartments,Amman,JOD41,0
Wadi rum Campsite & Tours,Wadi Rum,JOD5,4
Panorama Al-Jabel,Az Zarqa,JOD50,2
Wadi Rum Tours Camp,Wadi Rum,JOD15,2
Bait Alaqaba dive center & resort,Aqaba,JOD30,2
مخيم الجبال البرونزية,Wadi Rum,JOD10,2
Tala bay aqaba apartments,Aqaba,JOD130,0
Seven Roses Hotel,Amman,JOD50,4
Wadi rum galaxy camp,Wadi Rum,JOD4,4
Bedouin memories camp,Wadi Rum,JOD6,4
Wadi Rum Blue Sky & Tours,Wadi Rum,JOD5,2
Orient House Hotel Suites & Apartments بيت الشرق للشقق الفندقية,Amman,JOD40,3
Red Desert Camp,Wadi Rum,JOD9,1
Authentic Wadi Rum Camp,Wadi Rum,JOD8,0
Bedouin Holidays Camp and Jeep Tours,Wadi Rum,JOD20,0
Bedouin friend camp,Wadi Rum,JOD12,3
Wadi rum desert breath,Wadi Rum,JOD14,2
Desert Bird Camp,Wadi Rum,JOD11,4
فندق وشقق زارا,Irbid,JOD20,2
Ajloun Mihna guest house,Ajloun,JOD28,3
Cairwan Hotel,Kerak,JOD18,1
Murshed Motel,Ash Shūnah ash Shamālīyah,JOD45,0
Rafi Hotel,Amman,JOD32,5
MoonRock Camp,Wadi Rum,JOD10,3
Azraq Rest House,Al Azraq ash Shamālī,JOD48,3
desert spring camp,Wadi Rum,JOD3,2
Meneur Hotel,Amman,JOD35,3
Ajloun Hotel,Ajloun,JOD29,2
Wadi Rum Night Luxury Camp,Wadi Rum,JOD243,2
Virginia Hotel,Amman,JOD32,3
Bedouin Heritage Camp,Wadi Rum,JOD14,1
Tilal Almadina Hotel & Suites,Amman,JOD49,3
Gardens Hotel,Amman,JOD27,3
Shepherd Hotel,Amman,JOD45,3
Panorama Wadi Rum,Wadi Rum,JOD10,5
Quiet Bedouin Village Camp,Wadi Rum,JOD8,4
Abjar Hotel,Amman,JOD48,3
Century Park Hotel,Amman,JOD42,4
Sea view hotel,Aqaba,JOD63,3
Wadi Rum Quiet Village Camp,Wadi Rum,JOD30,5
Petra Guest House Hotel,Wadi Musa,JOD180,4
Desert Moon Camp,Wadi Rum,JOD12,2
The St. Regis Amman,"Abdoun, Amman",JOD176,5
Amro Petra Apartment,Wadi Musa,JOD30,5
Amman Palace Hotel,Amman,JOD18,2
Rumman Hotel,Madaba,JOD33,1
Grand Hotel Amman,Amman,JOD87,5
Arena Desert Camp & Adventurers,Wadi Rum,JOD46,3
Bedouin Westeros,Wadi Rum,JOD3,0
Petra Corner Hotel,Wadi Musa,JOD65,3
Amman Ambiance Hotel ,Amman,JOD32,3
Petra Sofsaf Hotel,Wadi Musa,JOD46,2
Normas Hotel,Amman,JOD14,1
New Luxurious Modern Studio,Jerash,JOD23,0
Infinity Lodge,Wadi Musa,JOD75,3
Nobel Hotel,Amman,JOD19,4
Wadi Ghwere Camp مخيم وادي الغوير,Al Khuraybah,JOD70,1
Wadi Rum Desert Colored,Wadi Rum,JOD10,5
Aied Camp with tour,Wadi Rum,JOD11,1
La Riva Hotel,Aqaba,JOD38,3
Taj Wadi Rum camp,Wadi Rum,JOD13,2
Lancaster Hotel Apartments-Gardens,Amman,JOD28,3
moon valley site jerash,Jerash,JOD22,4
The North jewel,Ajloun,JOD59,1
Al-Mujeb,Kerak,JOD37,3
AlQimah Serviced Apartments,Amman,JOD25,3
Al Midan Hotel,Amman,JOD30,5
ODIBAT STUDIOES,Jerash,JOD27,1
Jordan River Hotel,Amman,JOD11,1
Antika Amman Hotel,Amman,JOD42,2
مزرعة الخيال,Al Maşţabah,JOD149,3
Canary Boutique Hotel,Amman,JOD64,3
Zaman Ya Zaman Boutique Hotel,Amman,JOD35,2
The flower of life in Wadi Rum,Wadi Rum,JOD15,1
Beit Al Baraka,Umm Qays,JOD129,1
Black Iris Hotel,Madaba,JOD42,3
Concord Hotel,Amman,JOD21,2
Al Amer Hostel,Aqaba,JOD27,3
Rocky Mountain Hotel,Wadi Musa,JOD26,5
Jordan Seasons Hotel,Aqaba,JOD46,4
Tell Madaba Hotel,Madaba,JOD30,1
Moses Residence,Wadi Musa,JOD46,2
Bedouin Tribal Camp,Wadi Rum,JOD30,3
Al Qatal Building,Al Qasţal,JOD30,4
Bedouin host camp& with tour,Wadi Rum,JOD1,1
Amman Rotana,Amman,JOD109,5
Seas Hotel Amman,Amman,JOD53,4
Wadi Rum Fire Camp,Wadi Rum,JOD4,2
Rum Stars camp,Wadi Rum,JOD15,0
Jordan Tower Hotel,Amman,JOD18,1
The Y Hotel,Amman,JOD40,3
Wadi Rum Desert Adventures,Wadi Rum,JOD18,4
Coral Tower Hotel by Hansa,Amman,JOD62,4
Petra Boutique Hotel,Wadi Musa,JOD74,4
Bedouin Tours Camp,Wadi Rum,JOD20,4
Wadi Rum Bedouin Tour with a Camp,Wadi Rum,JOD7,2
Siesta Guest House,Wadi Musa,JOD11,2
Happy Night House,Wadi Musa,JOD17,3
Turquoise furnished Apartments,Amman,JOD20,5
Ramada Resort Dead Sea,Sowayma,JOD62,4
The Compass Hotel,Amman,JOD55,3
Aqaba Roza,Aqaba,JOD13,3
Bashtamal Hotel Suites,Amman,JOD30,2
Turquoise furnished Apartments,Amman,JOD20,2
Ramada Resort Dead Sea,Sowayma,JOD67,4
The Compass Hotel,Amman,JOD55,3
Aqaba Roza,Aqaba,JOD13,5
Bashtamal Hotel Suites,Amman,JOD30,2
City Center Hostel,Aqaba,JOD16,2
chalet شاليه,Al Kafrayn,JOD250,3
Caravan Hotel,Amman,JOD32,2
Al Naser Hotel,Amman,JOD20,3
Town Season Hotel,Wadi Musa,JOD58,3
Saray Hotel Amman,Amman,JOD45,4
Gerasa Hotel,Amman,JOD40,4
Anbat Midtown Hotel,Wadi Musa,JOD22,2
Citadel Rooms Apartment الغير سباحي,Amman,JOD25,3
Castle House,Kerak,JOD17,1
The Old Village Hotel & Resort,Wadi Musa,JOD150,5
Celino Hotel,Amman,JOD45,3
Days Inn Hotel & Suites Amman,Amman,JOD50,4
Crystal Hotel,Aqaba,JOD40,3
RAWA'AT ALAQABA,Aqaba,JOD25,2
Sunset Hotel,Wadi Musa,JOD45,3
The Boulevard Arjaan by Rotana,Amman,JOD100,5
Zawaideh desert Camp,Wadi Rum,JOD32,3
Moon Night Camp,Wadi Rum,JOD7,0
Tala Bay Residence,Aqaba,JOD175,4
RAWA'AT ALAQABA,Aqaba,JOD25,2
Sunset Hotel,Wadi Musa,JOD45,3
The Boulevard Arjaan by Rotana,Amman,JOD100,5
Zawaideh desert Camp,Wadi Rum,JOD32,2
